id,placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,imgUrl,latitude,longitude,query,location,osm_id
1,https://www.google.com/maps/place/Anglican+Church/data=!4m7!3m6!1s0x6d09810c664bf8f1:0x4d15dc392b3e82d0!8m2!3d-34.9901111!4d173.5349054!16s%2Fg%2F1w346sz3!19sChIJ8fhLZgyBCW0R0II-KzncFU0,Anglican Church,5,1,Anglican church,"9 Colonel Mould Drive, Mangōnui 0420, New Zealand","2G5M+XX Mangōnui, New Zealand",https://www.anglican.org.nz/,,https://lh5.googleusercontent.com/p/AF1QipP-c-qzFtWedP1idbmWcJvD8cszvamhrHDdtBWd=w408-h306-k-no,-34.9900625,173.5349375,"https://www.google.com/maps/search/churches/@-35.3014678,173.5876911,10.5z/data=!4m2!2m1!6e1",,369225161
2,https://www.google.com/maps/place/St+Andrews+Anglican+Church/data=!4m7!3m6!1s0x6d09810b165db877:0x581313c8c7459083!8m2!3d-34.9901527!4d173.5347525!16s%2Fg%2F1tfwq4f4!19sChIJd7hdFguBCW0Rg5BFx8gTE1g,St Andrews Anglican Church,4.3,3,Anglican church,"9 Colonel Mould Drive, Mangōnui 0420, New Zealand","2G5M+WW Mangōnui, New Zealand",http://www.standrewsmangonui.com/,+64 9 406 0619,https://lh5.googleusercontent.com/p/AF1QipNME83mR_tNOhDzwOUI1PqS4j425zbDlyOBCir-=w408-h306-k-no,-34.9901875,173.5348125,"https://www.google.com/maps/search/churches/@-35.3014678,173.5876911,10.5z/data=!4m2!2m1!6e1",,369225161
3,https://www.google.com/maps/place/Saint+Saviours+Anglican+Church/data=!4m7!3m6!1s0x6d09746a05e88399:0x4218f84aab28054b!8m2!3d-35.1160075!4d173.27279!16s%2Fg%2F1tfxgwfb!19sChIJmYPoBWp0CW0RSwUoq0r4GEI,Saint Saviours Anglican Church,4.4,10,Anglican church,"1/3 Panakareao Street, Kaitaia 0410, New Zealand","V7MF+H4 Kaitaia, New Zealand",http://www.stsaviours.co.nz/,+64 9 408 0528,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=I-MiDyekaXhTuQDJhtWNHA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=281.56833&pitch=0&thumbfov=100,-35.1160625,173.2728125,"https://www.google.com/maps/search/churches/@-35.3014678,173.5876911,10.5z/data=!4m2!2m1!6e1",,309992306
4,https://www.google.com/maps/place/St+James+Anglican+Church/data=!4m7!3m6!1s0x6d0bb7f0c7aa3975:0xe7f8ecbdb6ab73fa!8m2!3d-35.218216!4d173.961456!16s%2Fm%2F0gh8v46!19sChIJdTmqx_C3C20R-nOrtr3s-Oc,St James Anglican Church,4.8,19,Anglican church,"209 Kerikeri Road, Kerikeri 0230, New Zealand","QXJ6+PH Kerikeri, New Zealand",http://www.stjameskk.org.nz/,+64 9 407 1486,https://lh5.googleusercontent.com/p/AF1QipNfyZfX5i11Even2VN1VSZKhA2bsRrC9S5cvptJ=w420-h240-k-no,-35.2181875,173.9614375,"https://www.google.com/maps/search/churches/@-35.3014678,173.5876911,10.5z/data=!4m2!2m1!6e1",,437739181
5,https://www.google.com/maps/place/Anglican+Church/data=!4m7!3m6!1s0x6d0ba56832e8c387:0x231fa087a22fd6c9!8m2!3d-35.2617918!4d174.1234161!16s%2Fg%2F1tgdnr4f!19sChIJh8PoMmilC20RydYvooegHyM,Anglican Church,4,2,Anglican church,"Russell 0202, New Zealand","P4QF+79 Russell, New Zealand",https://www.anglican.org.nz/,+64 9 407 8496,https://lh5.googleusercontent.com/p/AF1QipMzuSiD2N_ZMXqGjyCEpJRdwDqm3LjiZ_ys9PUk=w426-h240-k-no,-35.2618125,174.1234375,"https://www.google.com/maps/search/churches/@-35.3014678,173.5876911,10.5z/data=!4m2!2m1!6e1",,665479971
6,"https://www.google.com/maps/place/Christ+Church,+Russell/data=!4m7!3m6!1s0x6d0ba56832e8c387:0xb02faae927947f34!8m2!3d-35.2630282!4d174.1234655!16s%2Fg%2F11clgkcx3w!19sChIJh8PoMmilC20RNH-UJ-mqL7A","Christ Church, Russell",4.7,119,Anglican church,"1 Church Street, Russell 0202, New Zealand","P4PF+Q9 Russell, New Zealand",,+64 27 206 0981,https://lh5.googleusercontent.com/p/AF1QipO_o5Hu72IaXaB-nivbbAQUEo-gImT2XHwhQyb6=w426-h240-k-no,-35.2630625,174.1234375,"https://www.google.com/maps/search/churches/@-35.3014678,173.5876911,10.5z/data=!4m2!2m1!6e1",,156937962
7,https://www.google.com/maps/place/St+Pauls+Anglican+Church/data=!4m7!3m6!1s0x6d0bbad13d6f4495:0x4b84eb0778e85f17!8m2!3d-35.283657!4d174.094049!16s%2Fg%2F1pyc_vh9h!19sChIJlURvPdG6C20RF1_oeAfrhEs,St Pauls Anglican Church,4.3,27,Anglican church,"36 Marsden Road, Paihia 0200, New Zealand","P38V+GJ Paihia, New Zealand","http://www.auckanglican.org.nz/find-a-church/northland/paihia/st-paul-s,-paihia",+64 9 402 5093,https://lh5.googleusercontent.com/p/AF1QipMWuAfWmTRgXx1najehpHPcJPr1WrlPEl5XUN1z=w408-h306-k-no,-35.2836875,174.0940625,"https://www.google.com/maps/search/churches/@-35.3014678,173.5876911,10.5z/data=!4m2!2m1!6e1",,450269090
8,https://www.google.com/maps/place/St+John+The+Baptist+Anglican+Church/data=!4m7!3m6!1s0x6d0bc6ce8a94d897:0xfe25a53a2f8904b9!8m2!3d-35.3165823!4d173.8749961!16s%2Fg%2F1ptygltm9!19sChIJl9iUis7GC20RuQSJLzqlJf4,St John The Baptist Anglican Church,4.3,3,Anglican church,"344 Te Ahu Ahu Road, Waimate North 0472, New Zealand","MVMF+9X Waimate North, New Zealand",https://waimatenorthparish.org.nz/,+64 9 403 7481,https://lh5.googleusercontent.com/p/AF1QipNaMjLWUWwRCrKYnUSuoYEz7eOf8sAm5dZjkhjY=w408-h306-k-no,-35.3165625,173.8749375,"https://www.google.com/maps/search/churches/@-35.3014678,173.5876911,10.5z/data=!4m2!2m1!6e1",,1065720932
9,https://www.google.com/maps/place/St+Catherine%27s+Anglican+Church/data=!4m7!3m6!1s0x6d0bc3533bee63c1:0x901c25fb080bb96a!8m2!3d-35.326338!4d173.7594919!16s%2Fg%2F1ptz_qggs!19sChIJwWPuO1PDC20RarkLCPslHJA,St Catherine's Anglican Church,4.9,7,Anglican church,"143 Settlers Way, Ōkaihau 0475, New Zealand","MQF5+FQ Ōkaihau, New Zealand",https://waimatenorthparish.org.nz/,+64 9 403 7481,https://lh5.googleusercontent.com/p/AF1QipNGosx8Nx1mmLb-J5NrZ5VCksQJWqHmPBYzHp5C=w408-h408-k-no,-35.3263125,173.7594375,"https://www.google.com/maps/search/churches/@-35.3014678,173.5876911,10.5z/data=!4m2!2m1!6e1",,829465209
10,https://www.google.com/maps/place/Holy+Trinity+Anglican+Church/data=!4m7!3m6!1s0x6d0bbf702c7e23ff:0x8eaad91c115400da!8m2!3d-35.3608259!4d173.9505052!16s%2Fg%2F1pp2vcxld!19sChIJ_yN-LHC_C20R2gBUERzZqo4,Holy Trinity Anglican Church,5,4,Anglican church,"6885 State Highway 1, Pakaraka 0472, New Zealand","JXQ2+M6 Pakaraka, New Zealand",https://waimatenorthparish.org.nz/,+64 9 403 7481,https://lh5.googleusercontent.com/p/AF1QipNk0ckpuViB1pf5QjtbT4koa4_jSPLXw0biAwpB=w408-h614-k-no,-35.3608125,173.9505625,"https://www.google.com/maps/search/churches/@-35.3014678,173.5876911,10.5z/data=!4m2!2m1!6e1",,954916289
